policy,spending
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,3
defense,1
defense,2
defense,
defense,2
defense,1
defense,1
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,1
defense,
defense,1
defense,
defense,2
defense,
defense,
defense,2
defense,1
defense,
defense,
defense,1
defense,1
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,2
defense,
defense,2
defense,1
defense,1
defense,
defense,1
defense,2
defense,
defense,2
defense,1
defense,1
defense,
defense,1
defense,2
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,1
defense,
defense,1
defense,3
defense,
defense,
defense,2
defense,
defense,2
defense,1
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,2
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,2
defense,1
defense,2
defense,
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,1
defense,1
defense,
defense,
defense,1
defense,2
defense,1
defense,
defense,2
defense,1
defense,
defense,
defense,2
defense,
defense,1
defense,2
defense,1
defense,2
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,
defense,2
defense,1
defense,
defense,1
defense,
defense,1
defense,2
defense,1
defense,1
defense,
defense,1
defense,
defense,2
defense,1
defense,
defense,1
defense,2
defense,1
defense,
defense,
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,2
defense,
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,2
defense,2
defense,
defense,
defense,1
defense,
defense,1
defense,3
defense,2
defense,
defense,
defense,
defense,1
defense,
defense,1
defense,2
defense,2
defense,1
defense,3
defense,2
defense,2
defense,1
defense,3
defense,1
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,2
defense,1
defense,2
defense,2
defense,
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,
defense,1
defense,2
defense,1
defense,
defense,
defense,
defense,3
defense,1
defense,1
defense,1
defense,
defense,
defense,1
defense,1
defense,
defense,1
defense,1
defense,2
defense,1
defense,1
defense,1
defense,2
defense,2
defense,1
defense,
defense,
defense,2
defense,1
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,2
defense,1
defense,
defense,2
defense,1
defense,1
defense,1
defense,
defense,2
defense,
defense,
defense,2
defense,1
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,3
defense,
defense,2
defense,
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,1
defense,1
defense,
defense,2
defense,2
defense,1
defense,1
defense,1
defense,
defense,2
defense,1
defense,2
defense,
defense,
defense,
defense,
defense,2
defense,
defense,1
defense,1
defense,
defense,2
defense,2
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,
defense,2
defense,1
defense,
defense,2
defense,1
defense,
defense,
defense,
defense,1
defense,2
defense,2
defense,1
defense,
defense,
defense,2
defense,1
defense,2
defense,1
defense,1
defense,1
defense,2
defense,2
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,1
defense,3
defense,
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,2
defense,1
defense,1
defense,1
defense,1
defense,2
defense,3
defense,
defense,2
defense,1
defense,1
defense,2
defense,1
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,2
defense,
defense,
defense,
defense,1
defense,
defense,
defense,1
defense,2
defense,1
defense,2
defense,2
defense,
defense,
defense,1
defense,1
defense,
defense,1
defense,
defense,2
defense,3
defense,
defense,
defense,3
defense,
defense,
defense,1
defense,1
defense,1
defense,2
defense,1
defense,1
defense,
defense,1
defense,1
defense,2
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,1
defense,2
defense,3
defense,2
defense,1
defense,
defense,
defense,
defense,2
defense,1
defense,
defense,2
defense,2
defense,
defense,
defense,
defense,1
defense,
defense,3
defense,
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,2
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,1
defense,
defense,
defense,2
defense,
defense,3
defense,1
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,1
defense,2
defense,2
defense,1
defense,
defense,
defense,3
defense,
defense,
defense,2
defense,
defense,
defense,2
defense,
defense,3
defense,2
defense,
defense,
defense,
defense,
defense,
defense,1
defense,2
defense,
defense,
defense,
defense,2
defense,1
defense,
defense,
defense,1
defense,
defense,
defense,2
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,1
defense,1
defense,
defense,2
defense,1
defense,
defense,2
defense,
defense,2
defense,2
defense,
defense,
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,2
defense,
defense,2
defense,1
defense,2
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,1
defense,2
defense,
defense,2
defense,
defense,2
defense,
defense,1
defense,2
defense,
defense,
defense,3
defense,
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,2
defense,2
defense,2
defense,1
defense,2
defense,1
defense,1
defense,1
defense,
defense,2
defense,
defense,2
defense,2
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,2
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,
defense,2
defense,1
defense,
defense,
defense,1
defense,2
defense,
defense,1
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,2
defense,
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,
defense,2
defense,1
defense,2
defense,2
defense,1
defense,2
defense,
defense,
defense,
defense,
defense,2
defense,2
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,2
defense,2
defense,
defense,1
defense,
defense,1
defense,2
defense,1
defense,
defense,
defense,3
defense,2
defense,
defense,
defense,
defense,
defense,2
defense,2
defense,
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,2
defense,2
defense,
defense,2
defense,2
defense,2
defense,2
defense,1
defense,
defense,
defense,2
defense,
defense,
defense,1
defense,
defense,2
defense,2
defense,1
defense,
defense,
defense,
defense,1
defense,2
defense,2
defense,2
defense,2
defense,2
defense,
defense,1
defense,2
defense,2
defense,
defense,1
defense,
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,2
defense,2
defense,1
defense,1
defense,
defense,2
defense,
defense,2
defense,
defense,2
defense,2
defense,
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,2
defense,
defense,2
defense,2
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,2
defense,2
defense,1
defense,1
defense,
defense,1
defense,
defense,1
defense,2
defense,
defense,2
defense,
defense,1
defense,1
defense,1
defense,2
defense,
defense,
defense,2
defense,3
defense,
defense,2
defense,
